cycle,sm,cta,warp,pc,instruction,event,active_mask,eligible,selected,stall_reason,memory_transaction_count,cache_result,divergence_depth
66,1,0,10,4,"MOVI r3, 200",ISSUE,00000000000000001111111111111111,1,1,"",,,
66,1,0,10,4,"MOVI r3, 200",EXECUTE,00000000000000001111111111111111,1,0,"",,,
67,0,0,2,5,"",WRITEBACK,00000000000000001111111111111111,1,0,"",,,
67,0,0,3,4,"MOVI r3, 200",ISSUE,00000000000000001111111111111111,1,1,"",,,
67,0,0,3,4,"MOVI r3, 200",EXECUTE,00000000000000001111111111111111,1,0,"",,,
67,1,0,10,5,"",WRITEBACK,00000000000000001111111111111111,1,0,"",,,
67,1,0,11,4,"MOVI r3, 200",ISSUE,00000000000000001111111111111111,1,1,"",,,
67,1,0,11,4,"MOVI r3, 200",EXECUTE,00000000000000001111111111111111,1,0,"",,,
68,0,0,3,5,"",WRITEBACK,00000000000000001111111111111111,1,0,"",,,
68,0,0,4,4,"MOVI r3, 200",ISSUE,00000000000000001111111111111111,1,1,"",,,
68,0,0,4,4,"MOVI r3, 200",EXECUTE,00000000000000001111111111111111,1,0,"",,,
68,1,0,11,5,"",WRITEBACK,00000000000000001111111111111111,1,0,"",,,
68,1,0,12,4,"MOVI r3, 200",ISSUE,00000000000000001111111111111111,1,1,"",,,
68,1,0,12,4,"MOVI r3, 200",EXECUTE,00000000000000001111111111111111,1,0,"",,,
69,0,0,4,5,"",WRITEBACK,00000000000000001111111111111111,1,0,"",,,
69,0,0,5,4,"MOVI r3, 200",ISSUE,00000000000000001111111111111111,1,1,"",,,
69,0,0,5,4,"MOVI r3, 200",EXECUTE,00000000000000001111111111111111,1,0,"",,,
69,1,0,12,5,"",WRITEBACK,00000000000000001111111111111111,1,0,"",,,
69,1,0,13,4,"MOVI r3, 200",ISSUE,00000000000000001111111111111111,1,1,"",,,
69,1,0,13,4,"MOVI r3, 200",EXECUTE,00000000000000001111111111111111,1,0,"",,,
70,0,0,5,5,"",WRITEBACK,00000000000000001111111111111111,1,0,"",,,
70,0,0,6,4,"MOVI r3, 200",ISSUE,00000000000000001111111111111111,1,1,"",,,
70,0,0,6,4,"MOVI r3, 200",EXECUTE,00000000000000001111111111111111,1,0,"",,,
70,1,0,13,5,"",WRITEBACK,00000000000000001111111111111111,1,0,"",,,
70,1,0,14,4,"MOVI r3, 200",ISSUE,00000000000000001111111111111111,1,1,"",,,
70,1,0,14,4,"MOVI r3, 200",EXECUTE,00000000000000001111111111111111,1,0,"",,,
71,0,0,6,5,"",WRITEBACK,00000000000000001111111111111111,1,0,"",,,
71,0,0,7,4,"MOVI r3, 200",ISSUE,00000000000000001111111111111111,1,1,"",,,
71,0,0,7,4,"MOVI r3, 200",EXECUTE,00000000000000001111111111111111,1,0,"",,,
71,1,0,14,5,"",WRITEBACK,00000000000000001111111111111111,1,0,"",,,
71,1,0,15,4,"MOVI r3, 200",ISSUE,00000000000000001111111111111111,1,1,"",,,
71,1,0,15,4,"MOVI r3, 200",EXECUTE,00000000000000001111111111111111,1,0,"",,,
72,0,0,7,5,"",WRITEBACK,00000000000000001111111111111111,1,0,"",,,
72,0,0,0,5,"SHL r4, r1, 2",ISSUE,00000000000000001111111111111111,1,1,"",,,
72,0,0,0,5,"SHL r4, r1, 2",EXECUTE,00000000000000001111111111111111,1,0,"",,,
72,1,0,15,5,"",WRITEBACK,00000000000000001111111111111111,1,0,"",,,
72,1,0,8,5,"SHL r4, r1, 2",ISSUE,00000000000000001111111111111111,1,1,"",,,
72,1,0,8,5,"SHL r4, r1, 2",EXECUTE,00000000000000001111111111111111,1,0,"",,,
73,0,0,0,6,"",WRITEBACK,00000000000000001111111111111111,1,0,"",,,
